text_snippet,true_stars,pred_stars,explanation,json_valid,raw_response,latency_ms,error,prompt_type
"A-flippin-mazing.\n\nWe had fifth row seats. I could see the beads of sweat dripping off Simba's chest as he sang and danced. I was pretty excited at first at how the script was verbatim with the actual movie. Then they switched it up in the second half with the whole Nala and Scar thing. Like they thought a Disney dweeb like myself wouldn't notice. Tsk tsk. Other than that, the singing is absolutely beautiful and totally on point. \n\nOur seats were $179. Yeah I know. Seriously; however, I'm sure the show would still have been amazing in the less than $100 seats. \n\nSome of the only cons were: the bathrooms were extremely crowded during intermission and the the nearest ones after that were ridiculously far away. In keeping with the Disney theme, waters are extremely pricey to buy as well. Maybe bring your own if the casinos have already raped your wallet?",5,5,"The reviewer was thoroughly impressed with the show's performance, despite some minor issues with the venue and pricing.",True,"{""stars"": 5, ""explanation"": ""The reviewer was thoroughly impressed with the show's performance, despite some minor issues with the venue and pricing.""}",733.22,,zero_shot
"We usually go here for their Sunday happy hour. The sushi is good and I've had their bbq pork noodles which have a lot of flavor, but for the most part it's not very authentic. Something different was their sushi ice cream, that was pretty awesome, you cant really go wrong with rice crispy treats and ice cream! The service has been very hit or miss.",3,3,The reviewer enjoyed some dishes but found others lacking in authenticity and service was inconsistent.,True,"{""stars"": 3, ""explanation"": ""The reviewer enjoyed some dishes but found others lacking in authenticity and service was inconsistent.""}",210.5,,zero_shot
"We use to love this place....but we will never be back again after two consecutive trips of lousy service and food.  \n\nOne visit, I ordered pesto sauce with pasta.  The pasta was cooked perfectly, that was the only part done right.  The pesto had no flavor.  I was a watery green thin and oily sauce.  Didn't taste basil or nuts of any kind.  By far the worst pesto sauce I have ever had!   The portion was a joke too!  All the pasta on my dish could fit inside my baby's 8 oz bottle!  I'm not a big eater by any means, this was a perfect portion for me, but for the price there should had been at least double the amount of food!\n\nThey use to have a mango ice tea that was really good, but they did not have it the last couple of visits.  The bread is ok, but the entree doesn't come with soup or salad, something just doesn't seem right with that.  For the price they charge, dessert should be included!  \n\nMy children each ordered a kids meal, grilled chicken breast was very thinly sliced, about as thick as two quarters, so it was over cooked, burnt and bland.  Don't even bother with it!  Spaghetti and meat sauce was also bland!!  The kids size meal was the the same size as my meal, but half the price!\n\nMy boss treated us last week, again, poor poor experience.  Very consistent with the previous visit, but we were at the Bell Road location.  Portion was very small, I guess they want everyone to eat less pasta because its a fatten food.  They want you to really feel like you are in Europe!   Children's entree, chicken tenders,  was again over cooked and dry.   My shrimp pasta dish had 5 pieces of shrimp for $16.99!  Do I feel rip off!  \n\nGood Bye to Mac Grill, you are a Closed Chapter.",1,1,"The reviewer had multiple poor experiences with lousy service, bad food, and small portions, leading to a complete loss of trust in the restaurant.",True,"{""stars"": 1, ""explanation"": ""The reviewer had multiple poor experiences with lousy service, bad food, and small portions, leading to a complete loss of trust in the restaurant.""}",302.5,,zero_shot
A must stop for any non-west coaster so they can experience the magic of an In-N-Out burger while visiting Vegas. On this past trip I also grabbed a grilled cheese from the secret men-u which was good. \n\nDon't be intimated if the place is packed. The line moved very quickly and we got our food in a prompt manner.,5,5,The reviewer highly recommends this In-N-Out location for its efficient service and delicious food.,True,"{""stars"": 5, ""explanation"": ""The reviewer highly recommends this In-N-Out location for its efficient service and delicious food.""}",319.41,,zero_shot
"Great service, nice atmosphere- not too loud even though it was crowded. The restaurant simply looks elegant, and I loved the wingback chairs! Kobe beef, mac and cheese, and sticky toffee pudding are must eats-one of most delicious desserts of my life. Table was messy entire meal which I did not like for this caliber of restaurant. Server and other wait staff were very friendly and gave great recommendations. We enjoyed the tablet based drink list as well. We would definitely come back for a special occasion if we lived in Las Vegas.",4,4,"The reviewer enjoyed the service, atmosphere, and food, but was disappointed by the messy table, preventing a perfect score.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed the service, atmosphere, and food, but was disappointed by the messy table, preventing a perfect score.""}",210.61,,zero_shot
"An excellent dining experience albeit a bit pricey for Italian food. The ambiance and atmosphere of this place is exceptional. Casual yet elegant. My service was absolutely extraordinary. All the servers were exceedingly attentive even if they weren't assigned to my table. There is a nice wine list and a moderate selection of unique beers including two from Italy. The price point for wine by the glass looked to be very inflated. I really wanted a nice red but I wasn't willing to pay their price point. Don't get me wrong, I'll pay$15-$20 for a glass of really good wine. I just didn't see any on their menu that warranted their prices. I had a nice and spicey pizza that was on special, it was clearly made from fresh ingredients and some quality Italian meats. They would do well to add it to their regular menu. A belgian beer, bottle of Pelegrino and the pizza set me back $50 with the tip. Great beer and great pizza but $50 seems steep for beer and pizza. But what is good beer and pizza worth?\n\nThis is not the Olive Garden! I saw one couple get up and leave after they sat down and looked at the menu....I think they were looking for a cheaper Italian experience. I have had some really good Italian cooking for far less although this place beats any of those for ambiance. Except the actual restaurants I've eaten at in Italy! I would definitely go back.",4,4,"The reviewer enjoyed the excellent service, ambiance, and food, but found the prices to be a bit steep.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed the excellent service, ambiance, and food, but found the prices to be a bit steep.""}",335.18,,zero_shot
"I placed an order a few weeks ago and went to pick it up and the manager was busy taking a phone call when I arrived. I kept trying to make eye contact with the other person working who was about 15 feet behind the manager making pizzas. I could just feel my pizza losing its delicious temperature as the minutes passed by. After several minutes of trying to get the other employees attention the manager finally put the person whom he was speaking to on the phone on hold and came to get my debit card to pay for the pizza. The food was good, and thanks to the manager who actually cared about me getting my food when it was hot I give this place 3 stars. I rarely eat pizza but when I do I want it hot, fast and cheap. Howies usually does all 3, but 2 out of 3 for a pizza joint is unacceptable.",3,3,The reviewer was satisfied with the food quality but disappointed with the slow service and temperature loss of their pizza.,True,"{""stars"": 3, ""explanation"": ""The reviewer was satisfied with the food quality but disappointed with the slow service and temperature loss of their pizza.""}",299.8,,zero_shot
"The Wings are pretty good. At least on Tuesdays on Wing Night. Lots of fried food. Everytime I go there I think that I will enjoy the food, but when I taste the food I remember that most of it tastes really boring. \n\nStick with the wings...",3,3,"The reviewer found the wings to be good, but the rest of the food was unimpressive and boring.",True,"{""stars"": 3, ""explanation"": ""The reviewer found the wings to be good, but the rest of the food was unimpressive and boring.""}",226.66,,zero_shot
"Sushi is first rate, the fish is so fresh! Loved the albacore,  tried beef toungue, DELICIOUS! Must come back and try the hot dishes.... Hard to find real Japanese food, so glad we found this!",5,5,"The reviewer highly praises the freshness of the fish and the quality of the dishes, indicating a perfect dining experience.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly praises the freshness of the fish and the quality of the dishes, indicating a perfect dining experience.""}",184.3,,zero_shot
"We had lunch here yesterday, March 12th.  It was very disappointing, especially for the price paid.  My husband and I each ordered 2 small plates of tapas and each had one glass of sangria.  Our lunch bill, not including the tip, was $60!!!!!  The sangria did not even have chopped fruit in it, as did every other glass of sangria I had ever purchased at other restaurants. Sixty plus dollars was an outrageous price to pay for lunch.  We will not be back.  Las Vegas has too many other places to try.  We were excited, as Barcelona is just blocks from my son's house in Southern Highlands.  He had given this restaurant a few tries.  He said he will not be back either.",2,1,"The reviewer was extremely dissatisfied with the overpriced and low-quality food and drinks, leading to a one-star rating.",True,"{""stars"": 1, ""explanation"": ""The reviewer was extremely dissatisfied with the overpriced and low-quality food and drinks, leading to a one-star rating.""}",350.41,,zero_shot
