text_snippet,true_stars,pred_stars,reasoning,explanation,json_valid,raw_response,latency_ms,prompt_type,reasoning_mismatch
"Lulu's has two things going for it: it's cheap, and it's close to Carnegie Mellon's campus. Besides that, the service isn't great, they have forgotten",2,2.0,,"The reviewer finds the service and food mediocre, but returns due to lack of alternatives nearby.",True,"{""stars"": 2, ""explanation"": ""The reviewer finds the service and food mediocre, but returns due to lack of alternatives nearby.""}",529.93,direct,
"Classic MAC and CHEESE pizza!! There is no way you can miss this being in Wisconsin, where cheese is king ~~ The other pizzas they make are good too, ",4,5.0,,"The reviewer highly recommends Ian's mac and cheese pizza, praising its uniqueness and the restaurant's flexible serving options.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly recommends Ian's mac and cheese pizza, praising its uniqueness and the restaurant's flexible serving options.""}",319.42,direct,
"I like doing tastings, so the tasting of the strange Coke products is fun for me.  Some are delish some...uh, not so much.  But, it's something to do ",3,4.0,,"The reviewer enjoyed the unique experience of tasting unusual Coke products and shopping at the large store, making it a fun and entertaining visit.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed the unique experience of tasting unusual Coke products and shopping at the large store, making it a fun and entertaining visit.""}",254.87,direct,
"My boyfriend said he would give The Boulders 5 stars, I thought it was more like 3 and since I'm writing the review, it's getting 3. \n\nUpon checking",3,3.0,,"The reviewer was moderately satisfied with their stay, citing some positives like the tennis center and spacious casita, but also several negatives like the room mix-up and slow internet.",True,"{""stars"": 3, ""explanation"": ""The reviewer was moderately satisfied with their stay, citing some positives like the tennis center and spacious casita, but also several negatives like the room mix-up and slow internet.""}",580.62,direct,
"must haves: table side guacomole, Javiers's top shelf margarita, and the steak and lobster (if you are feeling fancy) or carne asada(every other 364 d",5,5.0,,"The reviewer highly praises the restaurant's unique dishes and exceptional service, indicating a perfect dining experience.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly praises the restaurant's unique dishes and exceptional service, indicating a perfect dining experience.""}",356.13,direct,
I would not recommend this vet clinic. We had used this clinic for years but over the last 4 years the service has gone down hill. The staff and Dr Ho,1,1.0,,"The reviewer strongly dislikes the vet clinic due to unprofessional staff, rudeness, and lack of compassion.",True,"{""stars"": 1, ""explanation"": ""The reviewer strongly dislikes the vet clinic due to unprofessional staff, rudeness, and lack of compassion.""}",494.16,direct,
"My bf and I got a coupon from planet hollywood for their breakfast buffet. We get there, put our name down and waited for 30 min. Our turn comes up an",1,1.0,,"The reviewer had a severely disappointing experience with outdated coupons, poor food quality, and unfriendly service.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a severely disappointing experience with outdated coupons, poor food quality, and unfriendly service.""}",383.44,direct,
"Amazing is all I can say. They have absolutely everything. No, it's not organic but it's super homemade and killer. I get something different every ti",4,5.0,,"The reviewer highly praises the variety, quality, and service of the local butcher, recommending it to others.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly praises the variety, quality, and service of the local butcher, recommending it to others.""}",242.75,direct,
"Just tried the Habit for the first time tonight. The burgers were tasty, not GREAT, but good. The fries were a bit soggy and soft, but still tasted go",3,3.0,,"The reviewer enjoyed the food but was disappointed with the long wait time, making it an average experience.",True,"{""stars"": 3, ""explanation"": ""The reviewer enjoyed the food but was disappointed with the long wait time, making it an average experience.""}",486.21,direct,
Never heard of this place.  Really cool spot!  Nice ambience. Not too many parking spots here.  All of the appetizers were pretty great. The service w,4,4.0,,"The reviewer enjoyed the ambience, appetizers, and service, but had mixed experiences with some dishes and minor service issues.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed the ambience, appetizers, and service, but had mixed experiences with some dishes and minor service issues.""}",302.28,direct,
"Hmm, had a not so good experience.\nProbably not going back. \n\nWell, I guess even the coolest places have to have growing pains.\nOh, and the music ",2,1.0,,"The reviewer had a poor experience, was unlikely to return, and was offended by the music and a staff member's behavior.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a poor experience, was unlikely to return, and was offended by the music and a staff member's behavior.""}",287.03,direct,
"Horrible place. I've been to different sonic locations and this one is by far the worst. First of all, sonic isn't really great in the first place. Th",1,1.0,,"The reviewer had a consistently poor experience with greasy food, burnt eggs, and gritty ice cream, making it the worst Sonic location they've visited.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a consistently poor experience with greasy food, burnt eggs, and gritty ice cream, making it the worst Sonic location they've visited.""}",301.24,direct,
DO NOT GO HERE.   They are great until there is a problem.  My  comforter was  BURNED and neatly packed. Brought it back and was told to leave it ther,1,1.0,,"The reviewer had a severely negative experience with poor customer service, unprofessional behavior, and a defective product.",True,"{""stars"": 1, ""explanation"": ""The reviewer had a severely negative experience with poor customer service, unprofessional behavior, and a defective product.""}",315.92,direct,
I must admit that I'm one of the very few who does not care for Las Vegas.  Came here for a quick weekend with a friend who was in need of a quick wee,4,4.0,,"The reviewer enjoyed their stay at Mandalay Bay, praising its self-contained amenities, pool areas, and concert experience, despite not being a fan of Las Vegas.",True,"{""stars"": 4, ""explanation"": ""The reviewer enjoyed their stay at Mandalay Bay, praising its self-contained amenities, pool areas, and concert experience, despite not being a fan of Las Vegas.""}",371.71,direct,
Looking for a good place to go when you're craving authentic Mexican food but don't want to pay high prices at some Mexican sit-down restaurant or pay,3,5.0,,"The reviewer highly recommends Fausto's for its authentic Mexican food, generous portions, and affordable prices, with no major complaints.",True,"{""stars"": 5, ""explanation"": ""The reviewer highly recommends Fausto's for its authentic Mexican food, generous portions, and affordable prices, with no major complaints.""}",476.98,direct,
"do not fear this yellow and red striped hut, right here in Mesa's hood :)\nRolberto's has some pretty good stuff going for it.. their Carnitas is more",3,4.0,,"Rolberto's has good traditional and flavorful food, but it's not the best in town, making it a solid but not exceptional choice.",True,"{""stars"": 4, ""explanation"": ""Rolberto's has good traditional and flavorful food, but it's not the best in town, making it a solid but not exceptional choice.""}",296.97,direct,
"My husband, son, daughter and I went for a Sunday lunch. My little girl who is only 2 did not want to sit still and cried so we left so other people c",4,4.0,,"The reviewer was pleased with their experience, but had a minor issue with a restless child, which was resolved with a take-out option.",True,"{""stars"": 4, ""explanation"": ""The reviewer was pleased with their experience, but had a minor issue with a restless child, which was resolved with a take-out option.""}",2545.95,direct,
"Aria is a beautifully modern resort, and the cafe decor reflect that (although the color scheme was a little cold utilizing lots of grays).\n\nThe Goo",2,2.0,,"The reviewer had mixed experiences with great service, but poor food quality and overpriced meals, leading to a mediocre rating.",True,"{""stars"": 2, ""explanation"": ""The reviewer had mixed experiences with great service, but poor food quality and overpriced meals, leading to a mediocre rating.""}",5954.88,direct,
"I came here with a group of 5 girls celebrating a birthday on a Friday night, and I had a great time here. The bar wasn't too crowded around 9:30, and",4,5.0,,"The reviewer had a great time celebrating a birthday with friends, enjoying unique drinks and excellent service from a featured bartender.",True,"{""stars"": 5, ""explanation"": ""The reviewer had a great time celebrating a birthday with friends, enjoying unique drinks and excellent service from a featured bartender.""}",3503.23,direct,
"I can't say that I'm the most versed person when it comes to Thai food. Generally speaking, I like what's known as the \""white food.\"" At Thai Origina",4,4.0,,"The reviewer praises the restaurant's lunch specials, especially the BBQ Chicken with Fried Rice, but notes some minor issues with consistency and service.",True,"{""stars"": 4, ""explanation"": ""The reviewer praises the restaurant's lunch specials, especially the BBQ Chicken with Fried Rice, but notes some minor issues with consistency and service.""}",4469.17,direct,
"So glad that Pita Jungle has come to downtown finally!  \nWe have been big fans of this local chain, but have to say our favorite one is the Arcadia l",3,3.0,,The reviewer enjoyed the food but was disappointed with the inconsistent and sometimes lacking service at this location.,True,"{""stars"": 3, ""explanation"": ""The reviewer enjoyed the food but was disappointed with the inconsistent and sometimes lacking service at this location.""}",4392.36,direct,
"This place is extremely overpriced.  The service was ok, but I don't understand how you can charge $14 for a PBR in a brown bag with a shot of Jack.  ",1,1.0,,"The reviewer was extremely dissatisfied with the overpriced food and poor quality, leading to a strongly negative review.",True,"{""stars"": 1, ""explanation"": ""The reviewer was extremely dissatisfied with the overpriced food and poor quality, leading to a strongly negative review.""}",2428.1,direct,
"Such a disappointment.  My wife and I are huge Beatles fans.  We have never seen a cirque show before, so we were thrilled to get the chance.  This di",1,2.0,,"The reviewer was disappointed with the show, finding it didn't meet their expectations as a Beatles-themed circus performance.",True,"{""stars"": 2, ""explanation"": ""The reviewer was disappointed with the show, finding it didn't meet their expectations as a Beatles-themed circus performance.""}",3347.55,direct,
