text,true_stars,pred_stars,key_point,business_response,json_valid,latency_ms,raw_response
"Stopped in for some Gelato for my nephew since it was so hot out. I understand this stuff melts, but why did it seem like it was melting before she scooped it? the gelato did not look appetizing one bit.",2,1,"The gelato seemed to be melting before it was scooped, making it unappetizing.","We apologize for the disappointing appearance of our gelato. Our gelato is made fresh in-house daily, and we take extra precautions to ensure it's stored at the right temperature. We'd love to have you and your nephew try it again and experience the quality we strive for.",True,1167.02,"{
  ""stars"": 1,
  ""key_point"": ""The gelato seemed to be melting before it was scooped, making it unappetizing."",
  ""business_response"": ""We apologize for the disappointing appearance of our gelato. Our gelato is made fresh in-house daily, and we take extra precautions to ensure it's stored at the right temperature. We'd love to have you and your nephew try it again and experience the quality we strive for.""
}"
"We ordered food to go last night and though we regularly eat at other Native locations this was the first time we were disappointed.  The garbage pizza was barely warm and didn't have very many toppings for being a loaded pizza.  The wedge salad had hardly any dressing on it, or bacon and blue cheese crumbles,and was the part of our order we had to wait for after arriving which may be why the pizza was cold.  The biggest disappointment though were the wings.  We ordered half honey BBQ and half mild traditional.  We weren't told that mild meant a butter sauce.  That is not traditional by any means.  When we got home and discovered how our order looked we called and the manager offered to make it right and said we should have been told what \""mild\"" meant.  We are able to go in and have the ",1,1,"The wings were mislabeled as 'mild traditional' but actually came with a butter sauce, not traditional seasoning.",We apologize for the confusion with our wing flavors. We should have clearly communicated that our 'mild' wings come with a butter sauce. We're glad we could make it right for you and look forward to serving you a more accurate order on your next visit.,True,499.24,"{
  ""stars"": 1,
  ""key_point"": ""The wings were mislabeled as 'mild traditional' but actually came with a butter sauce, not traditional seasoning."",
  ""business_response"": ""We apologize for the confusion with our wing flavors. We should have clearly communicated that our 'mild' wings come with a butter sauce. We're glad we could make it right for you and look forward to serving you a more accurate order on your next visit.""
}"
"2/2/11- Talk about going downhill! Dunno know if it is a new mgr or what but when I get a roll with my salad and the bottom half is covered in black mold...EEK! \n\nThis little stuck-in-the-seventies place is the restaurant at the Belair Golf Course off of Bell Rd. Its really somewhat of a hidden gem though if you're looking for regular ol' American food. Its quiet, has a lovely view of the lake, peaceful, good service and above average food. The breakfast is especially good with the chicken fried steak being my personal favorite. Its actually real steak not some pre-breaded b.s. I like the club sandwich for lunch- generous amounts of meat, fresh lettuce & tomato, hot fries- how can you go wrong? My only reason for not giving it another star would be the decor. Its perfectly fine, I guess.",1,3,the bottom half of my roll was covered in black mold,We take food safety very seriously and are deeply sorry to hear that a moldy roll was served to you. We will retrain our staff on proper food handling procedures to prevent this from happening again. We invite you to return and experience our improved standards.,True,666.47,"{
  ""stars"": 3,
  ""key_point"": ""the bottom half of my roll was covered in black mold"",
  ""business_response"": ""We take food safety very seriously and are deeply sorry to hear that a moldy roll was served to you. We will retrain our staff on proper food handling procedures to prevent this from happening again. We invite you to return and experience our improved standards.""
}"
"We were greeted at the door by a young lady letting me know it would be a 20 min wait for a booth.  The place is a bit small and looks like it may fit about 100?\n\nOnce inside Angel greeted us with our menus. \n\nFood came to us QUICK!! \n\nWe had:\n\nPeanut butter waffle - it's peanut butter chips melted on waffles. yum!!\nPlain waffle - butter n maple syrup soooo good!\nTexas eggs and bacon sandwich was delicious\nScrambled eggs - plain variety\nEggs over medium - PERFECTLY MADE!! \nGrits - kinda clumpy\nHashbrowns - processed, but none the less fine\nCoffee - great cup of cafe Java\n\nAngel is an awesome server, though the cashier mentioned she from another House... Just helping out here as most of their crew is in Vegas for a wedding.  They need to snatch Angel up! She was super busy ",5,5,Grits were clumpy,"We're glad you enjoyed your meal overall, and we're sorry to hear that our grits didn't meet your expectations. We'll work on perfecting our grits recipe to ensure they're smooth and enjoyable for all our guests. We appreciate your feedback and hope to see you again soon.",True,487.59,"{
  ""stars"": 5,
  ""key_point"": ""Grits were clumpy"",
  ""business_response"": ""We're glad you enjoyed your meal overall, and we're sorry to hear that our grits didn't meet your expectations. We'll work on perfecting our grits recipe to ensure they're smooth and enjoyable for all our guests. We appreciate your feedback and hope to see you again soon.""
}"
"The rooms are immaculate and unbelievably comfortable.  As the newest hotel on the strip, it lives up to its 5-Star backing.  Though, minus a star for the blood sucking black jack dealers downstairs.  They'll provide you with a steady dose of 14's, 15's and 16's.  I had one dealer call me her \""Bust it Baby\"" and it's not because I look like Plies.",4,4,"The blackjack dealers downstairs were aggressive and made derogatory comments, including calling the reviewer 'Bust it Baby'.","We apologize for the unacceptable behavior of our blackjack dealers, particularly the comment made by one of our staff members. We take all complaints of this nature seriously and will address this issue with our team to ensure a more respectful and enjoyable experience for all our guests.",True,678.0,"{
  ""stars"": 4,
  ""key_point"": ""The blackjack dealers downstairs were aggressive and made derogatory comments, including calling the reviewer 'Bust it Baby'."",
  ""business_response"": ""We apologize for the unacceptable behavior of our blackjack dealers, particularly the comment made by one of our staff members. We take all complaints of this nature seriously and will address this issue with our team to ensure a more respectful and enjoyable experience for all our guests.""
}"
"I normally enjoy Pita Jungle, but this was our first visit to this location. I don't think we'll return. The Spanakopita was barely warm, and I had to double check that they actually used fillo dough. It certainly didn't look like it at first glance, and it did not have much of a flaky crunch. It absolutely was not worth nearly $4 for a very modest halved triangle. My sirloin with hummus was simply not appetizing- the two flavors did not  marry well to my taste, and the meat was too overdone (and I was not given an option to have it rarer). The chicken with hummus and pine nuts is far superior and a dish I have enjoyed many times before. Hubby enjoyed his falafel pita well enough. His only complaint was that there was not enough tzatsiki sauce. I thought the falafel was overly crunchy and ",2,2,"The Spanakopita was barely warm, and it did not have much of a flaky crunch.",We're sorry to hear that our Spanakopita didn't meet your expectations. We'll review our preparation process to ensure our pastries are served at the right temperature and with the flaky crunch you expect. We'd love to have you back to try it again.,True,524.57,"{
  ""stars"": 2,
  ""key_point"": ""The Spanakopita was barely warm, and it did not have much of a flaky crunch."",
  ""business_response"": ""We're sorry to hear that our Spanakopita didn't meet your expectations. We'll review our preparation process to ensure our pastries are served at the right temperature and with the flaky crunch you expect. We'd love to have you back to try it again.""
}"
"Charming little cafe with a unique and delicious menu item- crepes. I love the sweet crepes and I always order the stawberry with nutella crepe. The coffees are delicious too. I have been here about 6 times recently and while the staff are very friendly, it seems they are always short 1-2 people during the mornings and weekends. Typical wait time for me when I dine alone is about 30-40 minutes. Just be prepared for that, enjoy a coffee and the atmosphere.",4,4,"staff are always short 1-2 people during mornings and weekends, causing a 30-40 minute wait time","We appreciate your loyalty and feedback. We're working to ensure our staff levels meet demand, especially during peak hours. We invite you to return and enjoy a shorter wait time, on us, next time you visit.",True,484.54,"{
  ""stars"": 4,
  ""key_point"": ""staff are always short 1-2 people during mornings and weekends, causing a 30-40 minute wait time"",
  ""business_response"": ""We appreciate your loyalty and feedback. We're working to ensure our staff levels meet demand, especially during peak hours. We invite you to return and enjoy a shorter wait time, on us, next time you visit.""
}"
"Tried this place out and the food was ok, what concerned me was the cleanliness of the kitchen. The floor was really dirty, under the burners or stove seemed to have months of grease buildup etc. 50c extra to use debit or credit card btw.",2,2,The kitchen floor had months of grease buildup under the burners or stove.,We take the cleanliness of our kitchen very seriously and will address the issue with our maintenance team to ensure our floors are properly cleaned and maintained. We appreciate your feedback and invite you to give us another chance to serve you better.,True,441.99,"{
  ""stars"": 2,
  ""key_point"": ""The kitchen floor had months of grease buildup under the burners or stove."",
  ""business_response"": ""We take the cleanliness of our kitchen very seriously and will address the issue with our maintenance team to ensure our floors are properly cleaned and maintained. We appreciate your feedback and invite you to give us another chance to serve you better.""
}"
"If I could, I would give this place zero stars! The food was not bad but if you like to be treated rudely and enjoy crappy service then this is a place for you! Right when we were seated my husband wanted to get up and leave but we were in a large group so out of respect for everyone else who was hungry in our group we stayed.",1,1,"The server treated us rudely from the start, making us want to leave immediately after being seated.",We're sorry to hear that our server's behavior fell short of our usual standards. We'll address this with our team to ensure a more welcoming experience for all guests. We'd love the opportunity to serve you better in the future.,True,368.35,"{
  ""stars"": 1,
  ""key_point"": ""The server treated us rudely from the start, making us want to leave immediately after being seated."",
  ""business_response"": ""We're sorry to hear that our server's behavior fell short of our usual standards. We'll address this with our team to ensure a more welcoming experience for all guests. We'd love the opportunity to serve you better in the future.""
}"
"Yum! Who doesn't like a good panini? Thanks again to Groupon, got to try out a place I wouldn't have normally sought out. Thank you too to the Yelpers for the advice on its location. Definately tucked in next to Handlebar Jay's.\n\nWent on a late Sunday evening, super slow. Very nice and casual bartender who also ended up being our cook and server. Out of a few things we wanted to try (the gorgonzolla/fig app) which was a bummer but his recommendations made up for it. Ended up having the goat cheese & slow roasted tomatoes crustini. YUM!!! I had the chicken panini, date had itallian press. Both were enjoyed and had leftovers for the next day. \n\nMade a special trip across town for this place. I would go back but just wish it were closer.",3,4,"super slow service on a late Sunday evening, despite a nice and casual bartender who also served as cook and server","We appreciate your feedback and apologize for the slow service on your late Sunday evening visit. We're glad our bartender's recommendations made up for the wait, and we're happy you enjoyed the goat cheese & slow roasted tomatoes crustini and your chicken panini. We'll work to improve our efficiency to ensure a smoother experience for all our guests.",True,472.0,"{
  ""stars"": 4,
  ""key_point"": ""super slow service on a late Sunday evening, despite a nice and casual bartender who also served as cook and server"",
  ""business_response"": ""We appreciate your feedback and apologize for the slow service on your late Sunday evening visit. We're glad our bartender's recommendations made up for the wait, and we're happy you enjoyed the goat cheese & slow roasted tomatoes crustini and your chicken panini. We'll work to improve our efficiency to ensure a smoother experience for all our guests.""
}"
